City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Description
0,Tuktoyaktuk,69.4541,-133.0374,50.0,81,100,overcast clouds
1,Bambous Virieux,-20.3428,57.7575,73.22,53,40,scattered clouds
2,Barrow,71.2906,-156.7887,42.82,100,100,fog
3,Vicuna,-30.0319,-70.7081,42.53,18,99,overcast clouds
4,Tasiilaq,65.6145,-37.6368,32.61,80,83,broken clouds
5,Torbay,47.6666,-52.7314,58.26,88,100,overcast clouds
6,Vaini,-21.2,-175.2,77.16,94,100,light rain
7,Punta Arenas,-53.15,-70.9167,32.11,86,0,clear sky
8,Sainte-Maxime,43.3,6.6333,79.0,65,54,broken clouds
9,Victoria,22.2855,114.1577,84.38,88,92,light rain
10,Hermanus,-34.4187,19.2345,47.8,89,98,overcast clouds
11,Riachao Do Jacuipe,-11.8069,-39.3856,62.94,92,0,clear sky
12,Mataura,-46.1927,168.8643,44.47,87,27,scattered clouds
13,Rikitea,-23.1203,-134.9692,73.2,74,100,overcast clouds
14,Hobart,-42.8794,147.3294,55.26,69,75,broken clouds
15,Port Elizabeth,-33.918,25.5701,56.32,87,0,clear sky
16,Tyukhtet,56.5389,89.3011,79.12,50,7,clear sky
17,Cidreira,-30.1811,-50.2056,57.22,81,99,overcast clouds
18,Leshukonskoye,64.8989,45.7622,66.9,49,34,scattered clouds
19,Bluff,-46.6,168.3333,44.8,68,21,few clouds
20,Kaitangata,-46.2817,169.8464,38.35,78,17,few clouds
21,Derzhavinsk,51.1,66.3167,78.4,42,2,clear sky
22,Carauari,-4.8828,-66.8958,69.15,99,26,scattered clouds
23,Albany,42.6001,-73.9662,64.72,91,20,few clouds
24,Luena,-11.7833,19.9167,56.64,28,4,clear sky
25,Yakeshi,49.2833,120.7333,66.72,47,77,broken clouds
26,Seoul,37.5683,126.9778,83.59,78,75,broken clouds
27,Mar Del Plata,-38.0023,-57.5575,45.95,93,75,broken clouds
28,Busselton,-33.65,115.3333,59.58,64,64,broken clouds
29,Chuy,-33.6971,-53.4616,48.74,93,86,overcast clouds
30,Aklavik,68.2191,-135.0107,53.31,57,98,overcast clouds
31,Norman Wells,65.282,-126.8329,50.04,76,20,few clouds
32,Ushuaia,-54.8,-68.3,35.26,93,100,light rain
33,Riyadh,24.6877,46.7219,98.74,16,78,broken clouds
34,La Macarena,2.1837,-73.7849,68.49,99,93,overcast clouds
35,Ishigaki,24.3448,124.1572,91.53,66,40,scattered clouds
36,Saint George,37.1041,-113.5841,83.25,49,0,clear sky
37,Atuona,-9.8,-139.0333,77.27,73,4,clear sky
38,Salinopolis,-0.6136,-47.3561,77.95,85,75,broken clouds
39,Puerto Ayora,-0.7393,-90.3518,70.56,92,96,overcast clouds
40,Sitka,57.0531,-135.33,57.27,96,88,overcast clouds
41,Ribeira Grande,38.5167,-28.7,71.94,73,21,few clouds
42,Nome,64.5011,-165.4064,50.16,94,98,overcast clouds
43,Jamestown,42.097,-79.2353,62.71,70,0,clear sky
44,Pingliang,35.5392,106.6861,87.64,42,69,broken clouds
45,Praia Da Vitoria,38.7333,-27.0667,70.05,83,75,broken clouds
46,Ponta Do Sol,32.6667,-17.1,69.71,87,19,few clouds
47,Grindavik,63.8424,-22.4338,48.67,93,75,broken clouds
48,Vestmannaeyjar,63.4427,-20.2734,51.22,78,96,overcast clouds
49,Butaritari,3.0707,172.7902,81.88,74,17,few clouds
50,Pangody,65.85,74.4859,61.75,43,50,scattered clouds
51,Moose Factory,51.2585,-80.6094,53.58,87,100,overcast clouds
52,Jiayuguan,39.8167,98.3,87.24,40,56,broken clouds
53,Khatanga,71.9667,102.5,45.91,58,100,overcast clouds
54,Thompson,55.7435,-97.8558,50.16,87,0,clear sky
55,Henties Bay,-22.116,14.2845,52.92,89,7,clear sky
56,Khargapur,24.823,79.144,82.17,80,98,overcast clouds
57,Deder,9.3167,41.45,58.53,79,96,overcast clouds
58,Sur,22.5667,59.5289,94.91,48,100,overcast clouds
59,Esperance,-33.8667,121.9,58.59,67,92,overcast clouds
60,Katsuura,35.1333,140.3,83.41,81,48,scattered clouds
61,Caravelas,-17.7125,-39.2481,70.29,78,20,few clouds
62,Castro,-24.7911,-50.0119,42.33,98,68,broken clouds
63,Sao Joao Da Barra,-21.6403,-41.0511,68.95,44,91,overcast clouds
64,Dudinka,69.4058,86.1778,52.63,57,100,overcast clouds
65,Takikawa,43.5528,141.9064,82.62,63,33,scattered clouds
66,San Carlos De Bariloche,-41.1456,-71.3082,38.25,70,0,clear sky
67,Namibe,-15.1961,12.1522,60.06,94,22,few clouds
68,Sabang,5.8933,95.3214,82.63,72,90,overcast clouds
69,Port-Cartier,50.0334,-66.8654,59.76,96,18,light rain
70,Vila Velha,-20.3297,-40.2925,74.95,76,0,clear sky
71,Gat,31.61,34.7642,81.28,100,3,clear sky
72,Reo,12.3167,-2.4667,75.49,85,73,broken clouds
73,Hilo,19.7297,-155.09,83.28,97,48,scattered clouds
74,Byron Bay,-28.65,153.6167,63.95,63,70,broken clouds
75,San Ignacio,17.1561,-89.0714,75.34,100,75,broken clouds
76,East London,-33.0153,27.9116,54.54,94,0,clear sky
77,Narsaq,60.9167,-46.05,45.05,88,100,overcast clouds
78,Qaanaaq,77.484,-69.3632,32.61,70,65,broken clouds
79,Bethel,41.3712,-73.414,73.65,75,4,clear sky
80,Saldanha,-33.0117,17.9442,55.45,91,100,overcast clouds
81,Vossevangen,60.623,6.4229,61.54,94,99,overcast clouds
